City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
287,Zarechnyy,RU,53.2036,45.1923,60.76,81,100,13.6,overcast clouds
288,Narasapur,IN,16.45,81.6667,76.55,84,99,8.57,overcast clouds
289,Tevaitoa,PF,-16.7833,-151.5,78.76,72,77,14.38,light rain
290,Pangai,TO,-19.8,-174.35,76.87,73,55,21.39,broken clouds
291,Andenes,NO,69.3143,16.1194,44.92,100,100,6.91,overcast clouds
292,Ballina,AU,-28.8667,153.5667,62.78,83,77,8.16,broken clouds
293,Auki,SB,-8.7676,160.7034,84.7,66,37,2.04,scattered clouds
294,Victoria,HK,22.2855,114.1577,83.32,88,14,5.01,few clouds
295,Longyearbyen,SJ,78.2186,15.6401,37.24,93,75,3.44,broken clouds
296,Fuyu,CN,45.1833,124.8167,44.33,83,100,17.56,overcast clouds
297,Bara,NG,10.3744,10.7288,75.11,87,67,12.59,broken clouds
298,Arawa,PG,-6.2132,155.5367,85.98,62,22,3.89,few clouds
299,Hargeysa,SO,9.56,44.065,74.3,52,79,16.06,broken clouds
300,Kotka,FI,60.4664,26.9458,42.06,83,98,9.86,overcast clouds
301,Klaksvik,FO,62.2266,-6.589,52.72,90,30,19.75,scattered clouds
302,Mitsamiouli,KM,-11.3847,43.2844,73.83,75,0,3.0,clear sky
303,Tarauaca,BR,-8.1614,-70.7656,80.26,65,62,2.37,broken clouds
304,Alugan,PH,12.2188,125.4808,82.72,77,100,6.08,overcast clouds
305,Mbuji-Mayi,CD,-6.15,23.6,69.76,92,100,2.13,overcast clouds
306,Lapus,RO,47.5,24.0167,47.55,96,100,1.48,overcast clouds
307,Airai,TL,-8.9266,125.4092,65.34,81,94,0.92,overcast clouds
308,Shymkent,KZ,42.3,69.6,50.59,46,46,6.71,smoke
309,Kirakira,SB,-10.4544,161.9205,82.98,77,38,6.58,scattered clouds
310,Murdochville,CA,48.9583,-65.5006,31.1,67,6,4.21,clear sky
311,Thunder Bay,CA,48.4001,-89.3168,57.18,67,20,10.36,few clouds
312,Half Moon Bay,US,37.4636,-122.4286,78.58,63,0,17.27,clear sky
313,Manzhouli,CN,49.6,117.4333,25.09,60,0,16.55,clear sky
314,Laguna,US,38.421,-121.4238,86.14,41,0,5.75,clear sky
315,Port Hardy,CA,50.6996,-127.4199,55.4,94,20,4.61,fog
316,Ocos,GT,14.5094,-92.1933,80.78,77,59,3.53,broken clouds
317,Challapata,BO,-18.9,-66.7667,50.74,58,65,8.95,broken clouds
318,Husavik,IS,66.0449,-17.3389,43.59,83,80,9.48,broken clouds
319,Great Bend,US,38.3645,-98.7648,81.61,23,0,17.27,clear sky
320,Saint-Joseph,RE,-21.3667,55.6167,64.78,79,17,7.92,few clouds
321,Port Moresby,PG,-9.4431,147.1797,83.26,70,93,2.8,overcast clouds
322,Ottawa,CA,45.4112,-75.6981,51.04,53,16,4.47,few clouds
323,Buala,SB,-8.145,159.5921,84.54,70,32,5.1,light rain
324,Aragarcas,BR,-15.8975,-52.2508,76.23,73,76,10.13,broken clouds
325,Gao,ML,16.6362,1.637,93.33,29,24,8.59,few clouds
326,Pringsewu,ID,-5.3582,104.9744,72.18,95,90,2.71,overcast clouds
327,Acapulco,MX,16.8634,-99.8901,80.76,82,50,3.78,scattered clouds
328,Tual,ID,-5.6667,132.75,82.71,75,54,9.35,broken clouds
329,Foz Do Iguacu,BR,-25.5478,-54.5881,72.52,46,0,4.61,clear sky
330,Khorinsk,RU,52.1657,109.7726,24.62,90,95,8.08,overcast clouds
331,Esso,RU,55.9333,158.7,34.23,71,85,3.44,overcast clouds
332,Dali,CN,25.7,100.1833,59.4,94,85,2.55,overcast clouds
333,Riyadh,SA,24.6877,46.7219,77.14,15,0,5.01,clear sky
334,Teguldet,RU,57.3064,88.1667,24.82,91,36,1.9,scattered clouds
335,Manono,CD,-7.3,27.4167,73.13,74,87,2.48,overcast clouds
336,Ubata,BR,-14.2139,-39.5228,69.33,98,43,1.95,scattered clouds
337,Paita,PE,-5.0892,-81.1144,65.01,82,59,14.83,broken clouds
338,Harlingen,US,26.1906,-97.6961,85.05,35,46,13.69,scattered clouds
339,Northport,US,33.229,-87.5772,80.42,42,0,6.91,clear sky
340,Buchanan,LR,5.8808,-10.0467,75.72,91,100,6.78,moderate rain
341,Okhotsk,RU,59.3833,143.3,36.3,75,100,9.82,overcast clouds
342,Kabala,SL,9.5833,-11.55,69.96,95,99,1.57,light rain
